UserID,CourseID,Rating
1,c9b62178-88ee-4a25-b7c2-17e53707f33c,2
2,00e408ed-4f87-4d4e-b28d-29f4acd9f395,3
3,c3c9276f-a4ba-41ab-9fbd-00abed968264,3
4,1f40815d-89d8-4274-8b9c-e61ab30a3b2b,4
5,3ba5a5bb-1903-45b7-ba9b-bf157a0a31e5,4
6,00e408ed-4f87-4d4e-b28d-29f4acd9f395,3
7,fcc4eca3-0d3b-4767-a7ba-65ad469d80be,2
8,8216d085-31a6-43c1-ae48-04697d62e08a,1
9,5cc51ce3-73f5-4f6d-9c46-2254604480ab,5
10,85d13dd6-8e15-4668-90c2-485b2df8834d,3
11,fe172375-f7a0-4765-b90c-b1c06bb93b71,5
12,d8477f93-a4c1-4721-b6f9-0a98a1a6dad8,2
13,3ba5a5bb-1903-45b7-ba9b-bf157a0a31e5,4
14,3ba5a5bb-1903-45b7-ba9b-bf157a0a31e5,5
15,facc38f2-b900-4366-8e0e-0e1e7e05517a,3
16,c9b62178-88ee-4a25-b7c2-17e53707f33c,2
17,1f41dd68-a82f-4c5d-be70-ed45f0556e26,4
18,fe172375-f7a0-4765-b90c-b1c06bb93b71,3
19,2b6be246-aea5-4dfd-b6f1-845c78c94b3d,1
20,8ccfaf98-f459-4f32-b91c-b65aa117d69f,2
21,c4ba97d7-2b58-4934-92f9-b654d088889c,1
22,c37a9df1-fb07-45bc-a071-069113649e76,2
23,db388d11-225b-4542-83ae-7ca408f82d9e,5
24,f2e42db3-d730-40e0-9f97-0237130039b8,3
25,1f41dd68-a82f-4c5d-be70-ed45f0556e26,5
26,00e408ed-4f87-4d4e-b28d-29f4acd9f395,2
27,f8ae8ab1-6aa7-4ed1-8ed1-5118decbbc54,4
28,c3c9276f-a4ba-41ab-9fbd-00abed968264,3
29,3ba5a5bb-1903-45b7-ba9b-bf157a0a31e5,5
30,1f40815d-89d8-4274-8b9c-e61ab30a3b2b,5
31,00e408ed-4f87-4d4e-b28d-29f4acd9f395,4
32,00e408ed-4f87-4d4e-b28d-29f4acd9f395,1
33,fe172375-f7a0-4765-b90c-b1c06bb93b71,4
34,8ccfaf98-f459-4f32-b91c-b65aa117d69f,1
35,fcc4eca3-0d3b-4767-a7ba-65ad469d80be,1
36,c9b62178-88ee-4a25-b7c2-17e53707f33c,5
37,00e408ed-4f87-4d4e-b28d-29f4acd9f395,5
38,8216d085-31a6-43c1-ae48-04697d62e08a,2
39,c4ba97d7-2b58-4934-92f9-b654d088889c,1
40,2b6be246-aea5-4dfd-b6f1-845c78c94b3d,2
41,f8ae8ab1-6aa7-4ed1-8ed1-5118decbbc54,1
42,fe172375-f7a0-4765-b90c-b1c06bb93b71,3
43,d8477f93-a4c1-4721-b6f9-0a98a1a6dad8,1
44,f2e42db3-d730-40e0-9f97-0237130039b8,4
45,f8ae8ab1-6aa7-4ed1-8ed1-5118decbbc54,3
46,c37a9df1-fb07-45bc-a071-069113649e76,5
47,f2e42db3-d730-40e0-9f97-0237130039b8,1
48,c37a9df1-fb07-45bc-a071-069113649e76,3
49,d8477f93-a4c1-4721-b6f9-0a98a1a6dad8,5
50,fe172375-f7a0-4765-b90c-b1c06bb93b71,4
51,d8477f93-a4c1-4721-b6f9-0a98a1a6dad8,4
52,1f41dd68-a82f-4c5d-be70-ed45f0556e26,3
53,fcc4eca3-0d3b-4767-a7ba-65ad469d80be,1
54,c37a9df1-fb07-45bc-a071-069113649e76,3
55,d8477f93-a4c1-4721-b6f9-0a98a1a6dad8,2
56,d8477f93-a4c1-4721-b6f9-0a98a1a6dad8,4
57,1f41dd68-a82f-4c5d-be70-ed45f0556e26,2
58,1f41dd68-a82f-4c5d-be70-ed45f0556e26,1
59,db388d11-225b-4542-83ae-7ca408f82d9e,3
60,5cc51ce3-73f5-4f6d-9c46-2254604480ab,1
61,db388d11-225b-4542-83ae-7ca408f82d9e,5
62,1f41dd68-a82f-4c5d-be70-ed45f0556e26,4
63,f2e42db3-d730-40e0-9f97-0237130039b8,1
64,2b6be246-aea5-4dfd-b6f1-845c78c94b3d,4
65,b84de32b-052d-4bc0-809f-11ba1f180880,1
66,00e408ed-4f87-4d4e-b28d-29f4acd9f395,3
