UserID,CourseID,Progress
1,d8477f93-a4c1-4721-b6f9-0a98a1a6dad8,39
2,3ba5a5bb-1903-45b7-ba9b-bf157a0a31e5,40
3,2b6be246-aea5-4dfd-b6f1-845c78c94b3d,42
4,fe172375-f7a0-4765-b90c-b1c06bb93b71,47
5,8216d085-31a6-43c1-ae48-04697d62e08a,55
6,5cc51ce3-73f5-4f6d-9c46-2254604480ab,60
7,fcc4eca3-0d3b-4767-a7ba-65ad469d80be,74
8,8ccfaf98-f459-4f32-b91c-b65aa117d69f,41
9,8ccfaf98-f459-4f32-b91c-b65aa117d69f,64
10,5cc51ce3-73f5-4f6d-9c46-2254604480ab,36
11,85d13dd6-8e15-4668-90c2-485b2df8834d,51
12,85d13dd6-8e15-4668-90c2-485b2df8834d,95
13,2b6be246-aea5-4dfd-b6f1-845c78c94b3d,96
14,d8477f93-a4c1-4721-b6f9-0a98a1a6dad8,95
15,3ba5a5bb-1903-45b7-ba9b-bf157a0a31e5,72
16,fcc4eca3-0d3b-4767-a7ba-65ad469d80be,74
17,00e408ed-4f87-4d4e-b28d-29f4acd9f395,71
18,f2e42db3-d730-40e0-9f97-0237130039b8,45
19,c4ba97d7-2b58-4934-92f9-b654d088889c,91
20,c37a9df1-fb07-45bc-a071-069113649e76,85
21,f8ae8ab1-6aa7-4ed1-8ed1-5118decbbc54,94
22,fe172375-f7a0-4765-b90c-b1c06bb93b71,80
23,85d13dd6-8e15-4668-90c2-485b2df8834d,57
24,db388d11-225b-4542-83ae-7ca408f82d9e,54
25,c37a9df1-fb07-45bc-a071-069113649e76,9
26,facc38f2-b900-4366-8e0e-0e1e7e05517a,73
27,8216d085-31a6-43c1-ae48-04697d62e08a,63
28,c9b62178-88ee-4a25-b7c2-17e53707f33c,92
29,c9b62178-88ee-4a25-b7c2-17e53707f33c,2
30,c37a9df1-fb07-45bc-a071-069113649e76,29
31,c4ba97d7-2b58-4934-92f9-b654d088889c,57
32,1f41dd68-a82f-4c5d-be70-ed45f0556e26,48
33,c3c9276f-a4ba-41ab-9fbd-00abed968264,75
34,8216d085-31a6-43c1-ae48-04697d62e08a,88
35,1f40815d-89d8-4274-8b9c-e61ab30a3b2b,22
36,2b6be246-aea5-4dfd-b6f1-845c78c94b3d,65
37,1f41dd68-a82f-4c5d-be70-ed45f0556e26,33
38,f2e42db3-d730-40e0-9f97-0237130039b8,74
39,b84de32b-052d-4bc0-809f-11ba1f180880,25
40,8216d085-31a6-43c1-ae48-04697d62e08a,35
41,facc38f2-b900-4366-8e0e-0e1e7e05517a,61
42,8ccfaf98-f459-4f32-b91c-b65aa117d69f,92
43,8216d085-31a6-43c1-ae48-04697d62e08a,77
44,2b6be246-aea5-4dfd-b6f1-845c78c94b3d,33
45,00e408ed-4f87-4d4e-b28d-29f4acd9f395,26
46,f2e42db3-d730-40e0-9f97-0237130039b8,69
47,2b6be246-aea5-4dfd-b6f1-845c78c94b3d,25
48,2b6be246-aea5-4dfd-b6f1-845c78c94b3d,74
49,00e408ed-4f87-4d4e-b28d-29f4acd9f395,14
50,1f40815d-89d8-4274-8b9c-e61ab30a3b2b,2
51,3ba5a5bb-1903-45b7-ba9b-bf157a0a31e5,35
52,db388d11-225b-4542-83ae-7ca408f82d9e,51
53,f8ae8ab1-6aa7-4ed1-8ed1-5118decbbc54,52
54,c4ba97d7-2b58-4934-92f9-b654d088889c,36
55,2b6be246-aea5-4dfd-b6f1-845c78c94b3d,47
56,1f40815d-89d8-4274-8b9c-e61ab30a3b2b,50
57,00e408ed-4f87-4d4e-b28d-29f4acd9f395,29
58,c3c9276f-a4ba-41ab-9fbd-00abed968264,85
59,85d13dd6-8e15-4668-90c2-485b2df8834d,33
60,c37a9df1-fb07-45bc-a071-069113649e76,78
61,00e408ed-4f87-4d4e-b28d-29f4acd9f395,25
62,f8ae8ab1-6aa7-4ed1-8ed1-5118decbbc54,33
63,fcc4eca3-0d3b-4767-a7ba-65ad469d80be,81
64,f8ae8ab1-6aa7-4ed1-8ed1-5118decbbc54,69
65,8216d085-31a6-43c1-ae48-04697d62e08a,62
66,5cc51ce3-73f5-4f6d-9c46-2254604480ab,9
67,8ccfaf98-f459-4f32-b91c-b65aa117d69f,38
68,85d13dd6-8e15-4668-90c2-485b2df8834d,56
69,00e408ed-4f87-4d4e-b28d-29f4acd9f395,81
70,8216d085-31a6-43c1-ae48-04697d62e08a,57
71,c9b62178-88ee-4a25-b7c2-17e53707f33c,47
72,1f41dd68-a82f-4c5d-be70-ed45f0556e26,57
73,c9b62178-88ee-4a25-b7c2-17e53707f33c,43
74,fcc4eca3-0d3b-4767-a7ba-65ad469d80be,80
75,c37a9df1-fb07-45bc-a071-069113649e76,5
76,c4ba97d7-2b58-4934-92f9-b654d088889c,37
77,b84de32b-052d-4bc0-809f-11ba1f180880,15
78,3ba5a5bb-1903-45b7-ba9b-bf157a0a31e5,3
79,8216d085-31a6-43c1-ae48-04697d62e08a,46
80,f2e42db3-d730-40e0-9f97-0237130039b8,69
81,8216d085-31a6-43c1-ae48-04697d62e08a,97
82,1f41dd68-a82f-4c5d-be70-ed45f0556e26,30
83,3ba5a5bb-1903-45b7-ba9b-bf157a0a31e5,37
84,3ba5a5bb-1903-45b7-ba9b-bf157a0a31e5,90
85,d8477f93-a4c1-4721-b6f9-0a98a1a6dad8,13
86,c4ba97d7-2b58-4934-92f9-b654d088889c,69
87,c3c9276f-a4ba-41ab-9fbd-00abed968264,12
88,00e408ed-4f87-4d4e-b28d-29f4acd9f395,59
89,5cc51ce3-73f5-4f6d-9c46-2254604480ab,99
90,b84de32b-052d-4bc0-809f-11ba1f180880,3
91,fe172375-f7a0-4765-b90c-b1c06bb93b71,37
92,c3c9276f-a4ba-41ab-9fbd-00abed968264,39
93,1f40815d-89d8-4274-8b9c-e61ab30a3b2b,56
94,c4ba97d7-2b58-4934-92f9-b654d088889c,12
95,facc38f2-b900-4366-8e0e-0e1e7e05517a,32
96,2b6be246-aea5-4dfd-b6f1-845c78c94b3d,1
97,facc38f2-b900-4366-8e0e-0e1e7e05517a,74
98,1f40815d-89d8-4274-8b9c-e61ab30a3b2b,65
99,8ccfaf98-f459-4f32-b91c-b65aa117d69f,81
